,Time,CGM,Meal,Insulin_Basal,Insulin_Bolus
141,2024-01-01 07:06:00,45.37961243535475,0.0,0.0,0.0
142,2024-01-01 07:09:00,47.63551447938514,0.0,0.0,0.0
143,2024-01-01 07:12:00,49.62502389653322,0.0,0.0,0.0
144,2024-01-01 07:15:00,51.209597543757965,0.0,0.0,0.0
145,2024-01-01 07:18:00,52.25066412750404,0.0,0.0,0.0
146,2024-01-01 07:21:00,52.60962442615306,0.0,0.0,0.0
147,2024-01-01 07:24:00,52.14785162072404,0.0,0.0,0.0
148,2024-01-01 07:27:00,51.91673416668391,0.0,0.0,0.0
149,2024-01-01 07:30:00,53.33785393237629,0.0,0.0,0.0
150,2024-01-01 07:33:00,54.68294063536031,0.0,0.0,0.0
151,2024-01-01 07:36:00,55.96350573139557,0.0,0.0,0.0
152,2024-01-01 07:39:00,57.19103615706618,0.0,0.0,0.0
153,2024-01-01 07:42:00,58.37699518354802,0.0,0.0,0.0
154,2024-01-01 07:45:00,59.53282333260751,0.0,0.0,0.0
155,2024-01-01 07:48:00,60.669939347158405,0.0,0.0,0.0
156,2024-01-01 07:51:00,61.799741208700496,0.0,0.0,0.0
157,2024-01-01 07:54:00,62.93360719403876,0.0,0.0,0.0
158,2024-01-01 07:57:00,64.08227708778844,0.0,0.0,0.0
159,2024-01-01 08:00:00,65.25275391530126,0.0,0.0,0.0
160,2024-01-01 08:03:00,66.44644544529667,0.0,0.0,0.0
161,2024-01-01 08:06:00,67.66350446388631,0.0,0.0,0.0
162,2024-01-01 08:09:00,68.90406967307331,0.0,0.0,0.0
163,2024-01-01 08:12:00,70.17394870740947,0.0,0.0,0.0
164,2024-01-01 08:15:00,71.51302749684977,0.0,0.05,0.0
165,2024-01-01 08:18:00,73.01226680172775,0.0,0.05,0.0
166,2024-01-01 08:21:00,74.7736249866878,0.0,0.05,0.0
167,2024-01-01 08:24:00,76.89803393500365,0.0,0.05,0.0
168,2024-01-01 08:27:00,79.46379111708883,0.0,0.05,0.0
169,2024-01-01 08:30:00,82.42129698607839,0.0,0.05,0.0
170,2024-01-01 08:33:00,85.53010057957218,0.0,0.05,0.0
171,2024-01-01 08:36:00,88.50616270487191,0.0,0.05,0.0
172,2024-01-01 08:39:00,91.06421576691015,18.666666666666668,0.05,0.0
173,2024-01-01 08:42:00,92.95435896942087,0.0,0.05,1.0
174,2024-01-01 08:45:00,94.14678234141762,0.0,0.05,0.0
175,2024-01-01 08:48:00,94.96081705834689,0.0,0.05,0.0
176,2024-01-01 08:51:00,95.8378752480362,0.0,0.05,0.0
177,2024-01-01 08:54:00,97.25841281571942,0.0,0.05,0.0
178,2024-01-01 08:57:00,99.6814690225666,0.0,0.05,0.0
179,2024-01-01 09:00:00,103.38642858086527,0.0,0.05,0.0
180,2024-01-01 09:03:00,108.38554073626847,0.0,0.05,0.0
